Enums,Enum Description
Excel.AggregationFunction,Aggregation function for the DataPivotHierarchy.
Excel.ArrowheadLength,"Specifies the length of an arrowhead in a line, typically used in shape and line formatting."
Excel.ArrowheadStyle,"Specifies the style of an arrowhead in a line, such as open, closed, or none."
Excel.ArrowheadWidth,"Specifies the width of an arrowhead in a line, determining its thickness."
Excel.AutoFillType,The behavior types when AutoFill is used on a range in the workbook.
Excel.Base64EncodingType,The file type represented by the base64 encoding.
Excel.BindingType,"Defines the type of binding in an Excel add-in, such as for binding a range or a table."
Excel.BlockedErrorCellValueSubType,Represents types of #BLOCKED! errors.
Excel.BorderIndex,"Specifies which border of a range (top, bottom, left, right) is being referenced or styled."
Excel.BorderLineStyle,"Specifies the line style of a border, such as solid, dashed, or dotted."
Excel.BorderWeight,"Specifies the weight (thickness) of a border line, such as thin, medium, or thick."
Excel.BuiltInPivotTableStyle,Represents a built-in PivotTable style
Excel.BuiltInSlicerStyle,Represents a built-in slicer style.
Excel.BuiltInStyle,"Represents the built-in styles available in Excel, such as ""Normal"", ""Title"", or ""Accent1""."
Excel.BuiltInTableStyle,Represents a built-in table style.
Excel.BusyErrorCellValueSubType,Represents types of #BUSY! errors.
Excel.CalcErrorCellValueSubType,Represents types of #CALC! errors.
Excel.CalculationMode,"Specifies the calculation mode for Excel, such as automatic, manual, or automatic except tables."
Excel.CalculationState,Represents the state of calculation across the entire Excel application.
Excel.CalculationType,"Defines the type of calculation performed by Excel, such as full or recalculation of dependent cells."
Excel.CellValueType,Represents the types of the CellValue object.
Excel.ChartAxisCategoryType,Specifies the type of the category axis.
Excel.ChartAxisDisplayUnit,"Specifies the unit of display for a chart axis, such as hundreds, thousands, or millions."
Excel.ChartAxisGroup,"Represents the group of chart axes, such as primary or secondary axes in a chart."
Excel.ChartAxisPosition,"Specifies the position of an axis in a chart, such as left, right, top, or bottom."
Excel.ChartAxisScaleType,"Specifies the scale type of a chart axis, such as linear or logarithmic."
