Interfaces,Interface Description
Excel.Interfaces.HeaderFooterGroupLoadOptions,"Represents the options for loading properties of a HeaderFooterGroup object, allowing specific properties to be retrieved."
Excel.Interfaces.HeaderFooterLoadOptions,"Represents the options for loading properties of a HeaderFooter object, enabling selective property retrieval."
Excel.Interfaces.PageBreakCollectionLoadOptions,"Represents the options for loading properties of a PageBreakCollection object, allowing selective data loading."
Excel.Interfaces.PageBreakLoadOptions,"Represents the options for loading properties of a PageBreak object, enabling selective loading of page break details."
Excel.Interfaces.RangeCollectionLoadOptions,"Represents the options for loading properties of a RangeCollection object, allowing specific range properties to be loaded."
Excel.RunOptions,"Represents options for customizing the behavior of the Excel.run function, such as timeout settings or context."
Excel.Session,"Represents a session in Excel, which can be used to maintain context and settings across multiple API calls."
Excel.ShowAsRule,"Represents a rule that specifies how a PivotTable value should be displayed, such as showing values as a percentage of the total."
Excel.AllowEditRangeOptions,The interface used to construct optional fields of the AllowEditRange object.
Excel.ArrayCellValue,Represents a 2D array of cell values.
Excel.Base64EncodedImage,The base64 encoding type and data of an image.
Excel.BasicDataValidation,Represents the basic type data validation criteria.
Excel.BindingDataChangedEventArgs,Provides information about the binding that raised the data changed event.
Excel.BindingSelectionChangedEventArgs,Provides information about the selection that raised the selection changed event.
Excel.BlockedErrorCellValue,Represents the value of a cell containing a #BLOCKED! error.
Excel.BooleanCellValue,Represents the value of a cell containing a boolean.
Excel.BusyErrorCellValue,Represents the value of a cell containing a #BUSY! error.
Excel.CalcErrorCellValue,Represents the value of a cell containing a #CALC! error.
Excel.CardLayoutListSection,Represents a section of a card that is arranged as a list in card view.
Excel.CardLayoutPropertyReference,Represents a reference to a property used by the card layout.
Excel.CardLayoutSectionStandardProperties,Properties of a card layout relevant to most card layouts.
Excel.CardLayoutStandardProperties,Properties of a card layout relevant to most card layouts.
Excel.CardLayoutTableSection,Represents a section of a card that is arranged as a table in card view.
Excel.CellBorder,"Represents the properties of a single border returned by getCellProperties, getRowProperties, and getColumnProperties, or the border property input parameter of setCellProperties, setRowProperties, and setColumnProperties."
Excel.CellBorderCollection,"Represents the format.borders properties of getCellProperties, getRowProperties, and getColumnProperties, or the format.borders input parameter of setCellProperties, setRowProperties, and setColumnProperties."
Excel.CellProperties,Represents the returned properties of getCellProperties.
Excel.CellPropertiesBorderLoadOptions,Specifies which properties to load on the format.borders object.
Excel.CellPropertiesFill,"Represents the format.fill properties of getCellProperties, getRowProperties, and getColumnProperties or the format.fill input parameter of setCellProperties, setRowProperties, and setColumnProperties."
Excel.CellPropertiesFillLoadOptions,Specifies which properties to load on the format.fill object.
Excel.CellPropertiesFont,"Represents the format.font properties of getCellProperties, getRowProperties, and getColumnProperties, or the format.font input parameter of setCellProperties, setRowProperties, and setColumnProperties."
Excel.CellPropertiesFontLoadOptions,Specifies which properties to load on the format.font object.
Excel.CellPropertiesFormat,Represents the returned format properties of getCellProperties or format input parameter of setCellProperties.
Excel.CellPropertiesFormatLoadOptions,Represents which properties to load on the format object.
Excel.CellPropertiesLoadOptions,"Represents which cell properties to load, when used as part of a ""range.getCellProperties"" method."
Excel.CellPropertiesProtection,"Represents the format.protection properties of getCellProperties, getRowProperties, and getColumnProperties, or the format.protection input parameter of setCellProperties, setRowProperties, and setColumnProperties."
Excel.CellValueAttributionAttributes,"The attribution attributes object represents the set of details that can be used to describe where information came from, if the information comes from a public source."
Excel.CellValueExtraProperties,"These extra properties may appear on a CellValue and provide information about that CellValue, but the extra properties are not part of the value in the cell."
Excel.CellValuePropertyMetadata,Metadata about a property in EntityCellValue.properties.
Excel.CellValuePropertyMetadataExclusions,Represents the exclusion of a property in EntityCellValue.properties from features of Excel.
Excel.CellValueProviderAttributes,The provider attributes object represents the set of details used in card view to provide specified branding information for a CellValue type that supports provider attributes.
Excel.ChangedEventDetail,Provides information about the details of a WorksheetChangedEvent or TableChangedEvent.
