Type,Reference,Description
Classes,Excel.AllowEditRange,"Represents an AllowEditRange object found in a worksheet. This object works with worksheet protection properties. When worksheet protection is enabled, an AllowEditRange object can be used to allow editing of a specific range, while maintaining protection on the rest of the worksheet."
Classes,Excel.AllowEditRangeCollection,"Represents the set of AllowEditRange objects found in a worksheet. AllowEditRange objects work with worksheet protection properties. When worksheet protection is enabled, an AllowEditRange object can be used to allow editing of a specific range, while maintaining protection on the rest of the worksheet."
Classes,Excel.Application,Represents the Excel application that manages the workbook.
Classes,Excel.AutoFilter,Represents the AutoFilter object. AutoFilter turns the values in Excel column into specific filters based on the cell contents.
Classes,Excel.Binding,Represents an Office.js binding that is defined in the workbook.
Classes,Excel.BindingCollection,Represents the collection of all the binding objects that are part of the workbook.
Classes,Excel.CellValueConditionalFormat,Represents a cell value conditional format.
Classes,Excel.Chart,"Represents a chart object in a workbook. To learn more about the chart object model, see Work with charts using the Excel JavaScript API."
Classes,Excel.ChartAreaFormat,Encapsulates the format properties for the overall chart area.
Classes,Excel.ChartAxes,Represents the chart axes.
Classes,Excel.ChartAxis,Represents a single axis in a chart.
Classes,Excel.ChartAxisFormat,Encapsulates the format properties for the chart axis.
Classes,Excel.ChartAxisTitle,Represents the title of a chart axis.
Classes,Excel.ChartAxisTitleFormat,Represents the chart axis title formatting.
Classes,Excel.ChartBinOptions,Encapsulates the bin options for histogram charts and pareto charts.
Classes,Excel.ChartBorder,Represents the border formatting of a chart element.
Classes,Excel.ChartBoxwhiskerOptions,Represents the properties of a box and whisker chart.
Classes,Excel.ChartCollection,A collection of all the chart objects on a worksheet.
Classes,Excel.ChartDataLabel,Represents the data label of a chart point.
Classes,Excel.ChartDataLabelFormat,Encapsulates the format properties for the chart data labels.
Classes,Excel.ChartDataLabels,Represents a collection of all the data labels on a chart point.
Classes,Excel.ChartDataTable,Represents the data table object of a chart.
Classes,Excel.ChartDataTableFormat,Represents the format of a chart data table.
Classes,Excel.ChartErrorBars,This object represents the attributes for a chart's error bars.
Classes,Excel.ChartErrorBarsFormat,Encapsulates the format properties for chart error bars.
Classes,Excel.ChartFill,Represents the fill formatting for a chart element.
Classes,Excel.ChartFont,"This object represents the font attributes (such as font name, font size, and color) for a chart object."
Classes,Excel.ChartFormatString,"Represents the substring in chart related objects that contain text, like a ChartTitle object or ChartAxisTitle object."
Classes,Excel.ChartGridlines,Represents major or minor gridlines on a chart axis.
Classes,Excel.ChartGridlinesFormat,Encapsulates the format properties for chart gridlines.
Classes,Excel.ChartLegend,Represents the legend in a chart.
Classes,Excel.ChartLegendEntry,Represents the legend entry in legendEntryCollection.
Classes,Excel.ChartLegendEntryCollection,Represents a collection of legend entries.
Classes,Excel.ChartLegendFormat,Encapsulates the format properties of a chart legend.
Classes,Excel.ChartLineFormat,Encapsulates the formatting options for line elements.
Classes,Excel.ChartMapOptions,Encapsulates the properties for a region map chart.
Classes,Excel.ChartPivotOptions,Encapsulates the options for the pivot chart.
Classes,Excel.ChartPlotArea,This object represents the attributes for a chart plot area.
Classes,Excel.ChartPlotAreaFormat,Represents the format properties for a chart plot area.
Classes,Excel.ChartPoint,Represents a point of a series in a chart.
Classes,Excel.ChartPointFormat,Represents the formatting object for chart points.
Classes,Excel.ChartPointsCollection,A collection of all the chart points within a series inside a chart.
